,location,total_sqft,bath,price,BHK
2304,Electronic City Phase II,1252,2.0,6500000,3
2305,Electronic City Phase II,1135,2.0,4600000,2
2306,Electronic City Phase II,1305,3.0,6500000,3
2307,Electronic City Phase II,1165,2.0,3364000,2
2309,Electronic City Phase II,1336,2.0,5035000,3
2310,Electronic City Phase II,575,1.0,1675000,1
2311,Electronic City Phase II,925,2.0,4982000,3
2312,Electronic City Phase II,1065,2.0,3076000,2
2313,Electronic City Phase II,1065,2.0,3075000,2
2314,Electronic City Phase II,1140,2.0,3306000,2
2315,Electronic City Phase II,911,2.0,2650000,2
2316,Electronic City Phase II,1200,2.0,3465000,2
2317,Electronic City Phase II,1031,2.0,5448000,2
2321,Electronics City Phase 1,1475,3.0,7829000,3
2322,Electronics City Phase 1,1490,3.0,7880000,3
2323,Electronics City Phase 1,1113,2.0,5300000,2
2324,Electronics City Phase 1,1490,3.0,8400000,3
2331,Electronics City Phase 1,1015,2.0,5600000,2
2333,Electronics City Phase 1,1515,2.0,8091000,3
2334,Electronics City Phase 1,995,2.0,4600000,2
2335,Electronics City Phase 1,1555,2.0,8200000,3
2336,Electronics City Phase 1,1340,2.0,7500000,2
2337,Electronics City Phase 1,1124,2.0,5500000,3
2338,Electronics City Phase 1,1175,2.0,5700000,2
2339,Electronics City Phase 1,755,1.0,4241000,1
2340,Electronics City Phase 1,580,1.0,2700000,1
2341,Electronics City Phase 1,940,2.0,4900000,2
2342,Electronics City Phase 1,1335,2.0,6700000,2
2343,Electronics City Phase 1,1113,2.0,5500000,2
2345,Electronics City Phase 1,1350,3.0,7100000,3
2347,Electronics City Phase 1,995,2.0,4980000,2
2348,Electronics City Phase 1,635,1.0,2600000,1
2349,Electronics City Phase 1,1190,2.0,6800000,2
2351,Electronics City Phase 1,1450,3.0,7254000,3
2352,Electronics City Phase 1,360,1.0,1689999,1
2353,Electronics City Phase 1,638,1.0,3200000,1
2354,Electronics City Phase 1,1175,2.0,6498000,2
2355,Electronics City Phase 1,585,1.0,2100000,1
2356,Electronics City Phase 1,1200,2.0,5976000,2
2357,Electronics City Phase 1,1145,2.0,5400000,2
2358,Electronics City Phase 1,1125,2.0,6500000,2
2360,Electronics City Phase 1,1550,2.0,8200000,3
2362,Electronics City Phase 1,865,2.0,4000000,2
2366,Electronics City Phase 1,1800,3.0,9300000,3
2367,Electronics City Phase 1,1314,2.0,6000000,2
2368,Electronics City Phase 1,1170,2.0,6200000,2
2369,Electronics City Phase 1,1450,3.0,7900000,3
2370,Electronics City Phase 1,940,2.0,4800000,2
2371,Electronics City Phase 1,940,2.0,4400000,2
2372,Electronics City Phase 1,1300,2.0,6700000,2
2373,Electronics City Phase 1,1028,2.0,5100000,2
2375,Electronics City Phase 1,1205,2.0,6000000,2
2377,Electronics City Phase 1,1305,2.0,6700000,2
2378,Electronics City Phase 1,755,1.0,3012000,1
2379,Electronics City Phase 1,1175,2.0,6000000,2
2380,Frazer Town,1700,3.0,18000000,3
2381,Frazer Town,1305,3.0,9545000,3
2382,Frazer Town,1870,3.0,18500000,3
2383,Frazer Town,1750,3.0,15000000,3
2385,Frazer Town,2000,3.0,20000000,3
2386,Frazer Town,3500,4.0,33000000,3
2387,Frazer Town,2350,4.0,28500000,3
2388,Frazer Town,1550,2.0,14000000,2
2389,Frazer Town,1900,4.0,14500000,3
2390,Frazer Town,2560,3.0,26500000,3
2391,Frazer Town,2400,3.0,26000000,3
2392,Frazer Town,2560,3.0,28800000,3
2395,Frazer Town,1315,2.0,14000000,2
2396,Frazer Town,1706,3.0,15400000,3
2397,Frazer Town,2079,3.0,22000000,3
2399,Frazer Town,3436,5.0,34500000,4
2400,Frazer Town,3100,3.0,40000000,3
2401,Frazer Town,1180,2.0,10500000,2
2402,Frazer Town,2900,4.0,32500000,4
2403,Frazer Town,1870,3.0,18000000,3
2404,Frazer Town,896,1.0,10000000,1
2405,Frazer Town,1420,2.0,12000000,2
2406,GM Palaya,1820,2.0,8600000,3
2407,GM Palaya,1225,2.0,4700000,2
2408,GM Palaya,1140,2.0,4895000,2
2409,GM Palaya,1315,2.0,6500000,3
2410,GM Palaya,1315,3.0,6500000,3
2411,GM Palaya,1315,3.0,6400000,3
2412,GM Palaya,1735,3.0,7000000,3
2413,GM Palaya,1643,2.0,7000000,3
2414,Ganga Nagar,600,1.0,3800000,1
2415,Ganga Nagar,845,2.0,5500000,2
2416,Ganga Nagar,1112,2.0,6800000,2
2417,Ganga Nagar,998,2.0,6500000,2
2418,Ganga Nagar,1250,2.0,6500000,2
2419,Garudachar Palya,1325,2.0,6080000,3
2420,Garudachar Palya,1060,2.0,4870000,2
2421,Garudachar Palya,1150,2.0,5275000,2
2422,Garudachar Palya,1295,2.0,5950000,3
2423,Garudachar Palya,1320,2.0,6060000,3
2424,Garudachar Palya,1295,2.0,5950000,3
2425,Garudachar Palya,1150,2.0,5280000,2
2426,Garudachar Palya,1150,2.0,5280000,2
2427,Garudachar Palya,1060,2.0,4850000,2
2428,Garudachar Palya,1150,2.0,5250000,2
2429,Garudachar Palya,1325,2.0,6080000,3
2430,Garudachar Palya,1060,2.0,4866000,2
2431,Garudachar Palya,1150,2.0,5200000,2
2432,Garudachar Palya,1154,2.0,5180000,2
2434,Giri Nagar,2400,4.0,40000000,4
2435,Giri Nagar,1800,3.0,25200000,3
2436,Giri Nagar,1350,3.0,24000000,3
2437,Giri Nagar,2400,4.0,40000000,4
2438,Giri Nagar,3000,4.0,37500000,6
2439,Giri Nagar,2400,6.0,40000000,6
2440,Giri Nagar,4000,3.0,75000000,4
2441,Gollarapalya Hosahalli,861,2.0,3450000,2
2442,Gollarapalya Hosahalli,1408,3.0,6200000,3
2443,Gollarapalya Hosahalli,861,2.0,3450000,2
2444,Gollarapalya Hosahalli,1318,3.0,5400000,3
2445,Gollarapalya Hosahalli,861,2.0,3650000,2
2446,Gollarapalya Hosahalli,1320,3.0,6000000,3
2447,Gollarapalya Hosahalli,1345,3.0,6000000,3
2448,Gollarapalya Hosahalli,1905,3.0,8600000,4
2449,Gollarapalya Hosahalli,1318,3.0,5600000,3
2450,Gollarapalya Hosahalli,1129,2.0,5000000,2
2451,Gottigere,1100,2.0,4000000,2
2452,Gottigere,967,2.0,4500000,2
2453,Gottigere,1618,3.0,8250000,3
2454,Gottigere,1222,2.0,6300000,2
2456,Gottigere,1300,3.0,6500000,3
2457,Gottigere,950,2.0,3800000,2
2458,Gottigere,1153,2.0,4850000,2
2459,Gottigere,812,1.0,2600000,1
2461,Gottigere,1460,2.0,6500000,3
2462,Gottigere,1500,3.0,7000000,3
2463,Gottigere,1621,3.0,7200000,3
2464,Gottigere,812,1.0,2600000,1
2465,Gottigere,990,2.0,4000000,2
2466,Gottigere,1235,2.0,6300000,2
2467,Gottigere,1385,3.0,6400000,3
2468,Gottigere,1000,2.0,3500000,2
2469,Gottigere,1010,2.0,3500000,2
2472,Gottigere,1435,2.0,6200000,3
2473,Gottigere,945,2.0,4500000,2
2475,Gottigere,2500,3.0,12000000,4
2476,Gottigere,1230,2.0,5200000,3
2477,Gottigere,1120,2.0,5000000,2
2478,Gottigere,1500,3.0,6300000,3
2479,Gottigere,1200,2.0,4000000,2
2480,Gottigere,1280,2.0,6100000,2
2481,Gottigere,1205,2.0,5658000,2
2482,Gottigere,1170,2.0,4000000,2
2483,Gottigere,3000,3.0,13200000,4
2484,Gottigere,1613,3.0,7200000,3
2485,Gottigere,1110,2.0,3625000,2
2486,Gottigere,1245,2.0,5900000,2
2487,Gottigere,1200,2.0,5000000,2
2488,Green Glen Layout,1670,3.0,12000000,3
2489,Green Glen Layout,3250,4.0,23000000,4
2490,Green Glen Layout,1776,3.0,10500000,3
2491,Green Glen Layout,3250,4.0,23000000,4
2492,Green Glen Layout,940,2.0,5680000,2
2493,Green Glen Layout,1075,2.0,6000000,2
2494,Green Glen Layout,1715,3.0,11500000,3
2495,Green Glen Layout,1751,2.0,11500000,3
2496,Green Glen Layout,1750,3.0,13000000,3
2497,Green Glen Layout,1530,3.0,10500000,3
2498,Green Glen Layout,1752,3.0,10500000,3
2499,Green Glen Layout,1680,4.0,9500000,3
2500,Green Glen Layout,1728,3.0,12500000,3
2501,Green Glen Layout,1645,3.0,11000000,3
2502,Green Glen Layout,1517,3.0,10000000,3
2503,Green Glen Layout,3150,4.0,21800000,4
2505,Green Glen Layout,1750,3.0,12000000,3
2506,Green Glen Layout,1751,3.0,11500000,3
2507,Green Glen Layout,1750,3.0,10500000,3
2508,Green Glen Layout,1885,3.0,13500000,3
2509,Green Glen Layout,1715,3.0,12000000,3
2510,Green Glen Layout,1623,2.0,10500000,3
2511,Green Glen Layout,1715,3.0,11500000,3
2512,Green Glen Layout,1715,3.0,10500000,3
2513,Green Glen Layout,1600,3.0,10500000,3
2514,Green Glen Layout,1717,3.0,12500000,3
2515,Green Glen Layout,1250,2.0,7500000,2
2516,Green Glen Layout,1715,3.0,11200000,3
2517,Gubbalala,1470,2.0,8200000,3
2518,Gubbalala,1745,3.0,10400000,3
2519,Gubbalala,1745,3.0,11500000,3
2520,Gubbalala,1745,3.0,11000000,3
2521,Gubbalala,1650,3.0,7100000,3
2522,Gubbalala,2570,4.0,14100000,5
2523,Gubbalala,1205,2.0,7000000,2
2524,Gubbalala,1435,2.0,8000000,3
2525,Gubbalala,1475,2.0,8000000,2
2527,Gubbalala,1100,2.0,4950000,2
2528,Gubbalala,1060,2.0,4600000,2
2529,Gubbalala,2000,3.0,12500000,3
2530,Gunjur,1140,2.0,4300000,2
2531,Gunjur,1356,2.0,6600000,3
2532,Gunjur,1600,3.0,7500000,3
2533,Gunjur,2000,3.0,9500000,4
2534,Gunjur,1140,2.0,4911000,2
2535,Gunjur,1195,2.0,4400000,2
2536,Gunjur,1190,2.0,4000000,2
2537,Gunjur,1457,2.0,6000000,2
2538,Gunjur,1080,2.0,4100000,2
2541,Gunjur,1175,2.0,4348000,2
2542,Gunjur,1362,3.0,6263000,3
2543,Gunjur,1071,2.0,5100000,2
2544,Gunjur,1063,2.0,4000000,2
2545,Gunjur,1235,2.0,5276000,2
2546,Gunjur,1362,3.0,6263000,3
2547,Gunjur,1362,3.0,6263000,3
2548,Gunjur,1588,2.0,9000000,3
2549,Gunjur,1235,2.0,4450000,2
2550,Gunjur,1457,2.0,6000000,2
2551,Gunjur Palya,1050,2.0,4300000,2
2552,Gunjur Palya,1033,2.0,3200000,3
2553,Gunjur Palya,1400,3.0,4500000,3
2554,Gunjur Palya,993,2.0,4200000,2
2555,Gunjur Palya,1235,2.0,5276000,2
2556,HAL 2nd Stage,1490,2.0,30000000,3
2557,HAL 2nd Stage,600,3.0,14500000,2
2558,HAL 2nd Stage,2700,3.0,50000000,3
2559,HAL 2nd Stage,2040,4.0,50000000,5
2560,HBR Layout,2800,2.0,20000000,3
2561,HBR Layout,1722,3.0,9500000,3
2562,HBR Layout,1200,4.0,12000000,4
2563,HBR Layout,1200,2.0,6000000,2
2564,HBR Layout,1004,2.0,4900000,2
2565,HBR Layout,1783,3.0,12500000,3
2566,HBR Layout,1656,3.0,9000000,3
2567,HBR Layout,1089,2.0,6000000,2
2568,HBR Layout,1700,3.0,11000000,3
2569,HBR Layout,1198,2.0,6500000,2
2570,HBR Layout,1200,4.0,11500000,4
2571,HBR Layout,1200,2.0,12000000,2
2572,HBR Layout,1832,3.0,16000000,3
2573,HRBR Layout,1374,2.0,9500000,2
2574,HRBR Layout,1440,2.0,9800000,2
2576,HRBR Layout,2800,3.0,25000000,3
2577,HRBR Layout,1210,2.0,7500000,2
2578,HRBR Layout,1265,2.0,7800000,2
2579,HRBR Layout,1170,2.0,7500000,2
2581,HRBR Layout,1900,3.0,9000000,4
2582,HRBR Layout,1625,3.0,12000000,3
2583,HRBR Layout,1301,2.0,12000000,2
2584,HRBR Layout,1145,2.0,6850000,2
2585,HRBR Layout,1300,2.0,9000000,2
2587,HSR Layout,1372,2.0,6800000,2
2589,HSR Layout,1475,3.0,7500000,3
2590,HSR Layout,1467,2.0,5500000,2
2591,HSR Layout,1140,2.0,4600000,2
2592,HSR Layout,1372,2.0,6100000,2
2593,HSR Layout,1750,3.0,9500000,3
2595,HSR Layout,1027,2.0,4400000,2
2596,HSR Layout,1650,3.0,11000000,3
2597,HSR Layout,1140,2.0,4600000,2
2598,HSR Layout,1372,2.0,6100000,2
2599,HSR Layout,1140,2.0,4600000,2
2600,HSR Layout,1185,2.0,6000000,2
2601,HSR Layout,1127,2.0,6800000,2
2602,HSR Layout,1600,2.0,11500000,3
2603,HSR Layout,1145,2.0,4800000,2
2604,HSR Layout,1009,2.0,5600000,2
2605,HSR Layout,1300,2.0,9800000,2
2607,HSR Layout,1140,2.0,4600000,2
2608,HSR Layout,1126,2.0,6900000,2
2610,HSR Layout,1140,2.0,4600000,2
2611,HSR Layout,1145,2.0,4600000,2
2612,HSR Layout,1142,2.0,6500000,2
2613,HSR Layout,1145,2.0,4600000,2
2614,HSR Layout,1844,3.0,9500000,3
2615,HSR Layout,1203,2.0,7200000,2
2616,HSR Layout,1140,2.0,4600000,2
2617,HSR Layout,4200,5.0,24500000,5
2618,HSR Layout,1140,2.0,4600000,2
2619,HSR Layout,1145,2.0,4600000,2
2620,HSR Layout,1009,2.0,5600000,2
2621,HSR Layout,1145,2.0,4600000,2
2622,HSR Layout,1100,2.0,4400000,2
2623,HSR Layout,1203,2.0,6000000,2
2624,HSR Layout,1120,2.0,7000000,2
2625,HSR Layout,1140,2.0,4600000,2
2626,HSR Layout,1289,2.0,7000000,2
2627,HSR Layout,1844,3.0,8900000,3
2628,HSR Layout,1203,2.0,6000000,2
2629,HSR Layout,1140,2.0,4600000,2
2630,Haralur Road,1240,2.0,7000000,2
2631,Haralur Road,1027,2.0,4400000,2
2633,Haralur Road,2650,4.0,19800000,4
2635,Haralur Road,1194,2.0,4700000,2
2636,Haralur Road,1202,2.0,5300000,2
2637,Haralur Road,1056,2.0,6100000,2
2639,Haralur Road,1810,3.0,10000000,3
2640,Haralur Road,1194,2.0,4600000,2
2642,Haralur Road,1225,2.0,6738000,2
2643,Haralur Road,1243,2.0,4600000,2
2644,Haralur Road,1027,2.0,4400000,2
2645,Haralur Road,1920,3.0,11500000,3
2646,Haralur Road,1875,3.0,11000000,3
2647,Haralur Road,1194,2.0,4700000,2
2648,Haralur Road,1140,2.0,4300000,2
2649,Haralur Road,1027,2.0,4400000,2
2650,Haralur Road,1194,2.0,4600000,2
2651,Haralur Road,2017,3.0,12500000,3
2652,Haralur Road,1140,2.0,4300000,2
2653,Haralur Road,1875,3.0,11000000,3
2654,Haralur Road,1092,2.0,4400000,2
2655,Haralur Road,1300,2.0,7300000,2
2656,Haralur Road,1194,2.0,4700000,2
2657,Haralur Road,1243,2.0,4600000,2
2658,Haralur Road,1850,3.0,11000000,3
2659,Haralur Road,1225,2.0,6738000,2
2660,Haralur Road,1243,2.0,4600000,2
2661,Haralur Road,1464,2.0,5600000,2
2662,Haralur Road,1230,2.0,7800000,2
2663,Haralur Road,1000,2.0,4400000,2
2664,Haralur Road,2805,2.0,17500000,4
2665,Haralur Road,1300,2.0,7900000,2
2666,Haralur Road,1444,2.0,8000000,3
2667,Haralur Road,1088,2.0,6800000,2
2668,Haralur Road,1027,2.0,4400000,2
2670,Haralur Road,1225,2.0,7000000,2
2672,Haralur Road,1194,2.0,4600000,2
2673,Haralur Road,1830,3.0,10100000,3
2674,Haralur Road,1810,3.0,12600000,3
2675,Haralur Road,1464,2.0,5600000,2
2676,Haralur Road,1520,2.0,9600000,3
2677,Haralur Road,1300,2.0,7500000,2
2678,Haralur Road,2017,2.0,12500000,3
2679,Haralur Road,1243,2.0,4600000,2
2680,Haralur Road,1027,2.0,4400000,2
2681,Haralur Road,2805,5.0,16000000,4
2682,Haralur Road,1243,2.0,4600000,2
2683,Haralur Road,1027,2.0,4400000,2
2684,Haralur Road,2017,3.0,10500000,3
2685,Haralur Road,1243,2.0,4600000,2
2686,Haralur Road,1243,2.0,4600000,2
2687,Haralur Road,1520,2.0,9000000,3
2688,Haralur Road,1300,2.0,6000000,2
2689,Haralur Road,1985,3.0,13000000,3
2690,Haralur Road,1255,2.0,9000000,3
2691,Haralur Road,1056,2.0,6000000,2
2692,Haralur Road,1140,2.0,4200000,2
2693,Haralur Road,1245,2.0,6200000,2
2694,Haralur Road,1140,2.0,5800000,2
2695,Haralur Road,1140,2.0,4200000,2
2696,Haralur Road,1027,2.0,4300000,2
2697,Haralur Road,1194,2.0,4700000,2
2698,Haralur Road,1194,2.0,4700000,2
2699,Haralur Road,1560,3.0,9000000,3
2700,Haralur Road,1520,2.0,8500000,3
2701,Haralur Road,1243,2.0,4500000,2
2702,Haralur Road,1027,2.0,4400000,2
2703,Haralur Road,1194,2.0,4600000,2
2704,Haralur Road,1650,3.0,10000000,3
2705,Haralur Road,1580,3.0,7300000,3
2706,Haralur Road,1243,2.0,4600000,2
2707,Haralur Road,1194,2.0,4700000,2
2709,Haralur Road,1520,2.0,9600000,3
2710,Haralur Road,1510,3.0,8305000,3
2711,Haralur Road,1056,2.0,6500000,2
2712,Haralur Road,1810,3.0,10000000,3
2713,Haralur Road,1243,2.0,4600000,2
2714,Haralur Road,575,1.0,3800000,1
2715,Haralur Road,1194,2.0,4600000,2
2716,Haralur Road,1243,2.0,4600000,2
2717,Haralur Road,1194,2.0,4600000,2
2718,Haralur Road,1140,2.0,4300000,2
2719,Haralur Road,1850,3.0,12000000,3
2720,Haralur Road,1194,2.0,4700000,2
2721,Haralur Road,1194,2.0,4700000,2
2723,Haralur Road,1243,2.0,4600000,2
2724,Haralur Road,1710,3.0,8500000,3
2725,Haralur Road,1730,3.0,9500000,3
2726,Haralur Road,1243,2.0,4600000,2
2727,Haralur Road,1243,2.0,4600000,2
2728,Haralur Road,1243,2.0,4600000,2
2729,Haralur Road,1817,3.0,11000000,3
2730,Haralur Road,1225,2.0,7700000,2
2731,Haralur Road,1285,2.0,7800000,2
2732,Haralur Road,1225,2.0,6748000,2
2733,Haralur Road,1225,2.0,6984000,2
2734,Haralur Road,1200,2.0,4600000,2
2735,Haralur Road,1315,2.0,8500000,2
2736,Haralur Road,1976,3.0,9200000,3
2737,Haralur Road,1300,2.0,7500000,2
2738,Haralur Road,1309,2.0,8200000,2
2739,Haralur Road,1027,1.0,4400000,2
2740,Haralur Road,1243,2.0,4600000,2
2741,Haralur Road,1243,2.0,4600000,2
2742,Haralur Road,1140,2.0,4300000,2
2743,Haralur Road,1300,2.0,7500000,2
2744,Haralur Road,1243,2.0,4600000,2
2745,Haralur Road,1890,3.0,8400000,3
2746,Haralur Road,1230,2.0,6765000,2
2747,Haralur Road,1194,2.0,4600000,2
2748,Haralur Road,1092,2.0,4400000,2
2750,Haralur Road,1255,3.0,9000000,3
2751,Haralur Road,1735,3.0,9700000,3
2752,Haralur Road,1810,3.0,9783000,3
2753,Haralur Road,1200,2.0,4600000,2
2754,Haralur Road,1243,2.0,4600000,2
2755,Haralur Road,1810,3.0,11200000,3
2756,Harlur,1508,2.0,7700000,2
2757,Harlur,1752,3.0,13500000,3
2759,Harlur,1709,3.0,15000000,3
2760,Harlur,1174,2.0,6900000,2
2761,Harlur,1033,2.0,4900000,2
2762,Harlur,1197,2.0,8400000,2
2763,Harlur,1757,3.0,13200000,3
2764,Harlur,1174,2.0,7600000,2
2765,Harlur,1754,3.0,12500000,3
2766,Harlur,1290,2.0,8500000,2
2767,Harlur,1752,3.0,11600000,3
2768,Harlur,1754,3.0,13500000,3
2769,Harlur,1754,3.0,12400000,3
2770,Harlur,1152,2.0,6900000,2
2771,Harlur,1290,2.0,8700000,2
2772,Harlur,1749,3.0,11500000,3
2773,Harlur,2240,5.0,15500000,3
2774,Harlur,1758,3.0,13300000,3
2776,Harlur,1197,2.0,7900000,2
2777,Harlur,1174,2.0,7800000,2
2780,Harlur,1197,2.0,7900000,2
2781,Harlur,1749,3.0,11200000,3
2782,Harlur,1174,2.0,7500000,2
2783,Harlur,1750,3.0,13600000,3
2784,Harlur,1620,3.0,11000000,3
2787,Harlur,1762,3.0,13300000,3
2788,Harlur,1756,3.0,13100000,3
2789,Harlur,1755,3.0,13000000,3
2790,Harlur,1864,3.0,14000000,3
2791,Harlur,1331,2.0,8800000,2
2792,Harlur,1752,3.0,13300000,3
2793,Harlur,1133,2.0,5500000,2
2794,Harlur,1756,3.0,12800000,3
2795,Harlur,1749,3.0,12000000,3
2796,Harlur,1197,2.0,8200000,2
2797,Harlur,1303,2.0,9000000,2
2798,Harlur,1754,3.0,13200000,3
2799,Harlur,1174,2.0,7500000,2
2800,Harlur,1756,3.0,13400000,3
2801,Harlur,1197,2.0,7800000,2
2802,Harlur,1290,2.0,8990000,2
2803,Harlur,1386,2.0,8500000,2
2804,Harlur,1174,2.0,7400000,2
2805,Harlur,1174,2.0,7800000,2
2807,Harlur,1755,3.0,11500000,3
2809,Harlur,2569,4.0,17500000,4
2811,Harlur,1197,2.0,7700000,2
2812,Harlur,1752,3.0,12500000,3
2813,Harlur,2569,5.0,18000000,4
2814,Harlur,1225,2.0,5600000,2
2815,Harlur,1197,2.0,7600000,2
2817,Harlur,1197,2.0,7500000,2
2818,Harlur,1755,3.0,11700000,3
2819,Harlur,1197,2.0,7990000,2
2820,Harlur,936,2.0,4500000,2
2821,Harlur,2990,4.0,22500000,4
2822,Harlur,1370,2.0,8800000,2
2823,Harlur,1200,2.0,7276000,2
2824,Hebbal,1760,2.0,12300000,3
2826,Hebbal,1349,2.0,9820000,2
2827,Hebbal,2483,5.0,21200000,4
2828,Hebbal,1760,2.0,13000000,3
2829,Hebbal,3450,5.0,26000000,3
2830,Hebbal,1920,3.0,13400000,3
2831,Hebbal,1500,3.0,15000000,3
2832,Hebbal,1337,2.0,8200000,2
2833,Hebbal,1349,2.0,9800000,2
2834,Hebbal,2470,5.0,24700000,4
2835,Hebbal,1036,2.0,5000000,2
2838,Hebbal,1790,3.0,12700000,3
2840,Hebbal,1985,4.0,18900000,3
2841,Hebbal,2483,5.0,21500000,4
2842,Hebbal,1080,2.0,5400000,2
2843,Hebbal,812,2.0,5500000,2
2845,Hebbal,1075,2.0,5200000,2
2846,Hebbal,3067,4.0,23000000,4
2847,Hebbal,2526,2.0,25000000,3
2848,Hebbal,3067,4.0,23000000,4
2850,Hebbal,823,2.0,5063000,2
2851,Hebbal,1420,2.0,12300000,2
2853,Hebbal,3067,4.0,31000000,4
2854,Hebbal,1420,2.0,9939000,2
2855,Hebbal,4235,4.0,36500000,4
2856,Hebbal,1700,3.0,12400000,3
2857,Hebbal,3960,5.0,38600000,4
2859,Hebbal,1420,2.0,9939000,2
2861,Hebbal,1440,2.0,11500000,2
2862,Hebbal,1100,2.0,5400000,2
2864,Hebbal,2400,4.0,18000000,3
2866,Hebbal,1420,2.0,10700000,2
2867,Hebbal,1320,2.0,9200000,2
2868,Hebbal,919,2.0,4900000,2
2869,Hebbal,1645,3.0,13500000,3
2870,Hebbal,2080,3.0,17500000,3
2872,Hebbal,2483,5.0,23000000,4
2873,Hebbal,2600,3.0,19500000,3
2874,Hebbal,1645,3.0,11700000,3
2875,Hebbal,1251,2.0,8873000,2
2876,Hebbal,1645,3.0,12100000,3
2877,Hebbal,1760,3.0,12300000,3
2879,Hebbal,3960,5.0,38600000,4
2880,Hebbal,1645,3.0,12000000,3
2881,Hebbal,1255,2.0,9000000,3
2882,Hebbal,1645,3.0,11700000,3
2885,Hebbal,1636,3.0,11900000,3
2886,Hebbal,2466,2.0,22650000,3
2887,Hebbal,1255,2.0,9500000,3
2890,Hebbal,1255,2.0,9500000,3
2891,Hebbal,1088,2.0,6145000,2
2892,Hebbal,1349,2.0,9780000,2
2894,Hebbal,1344,2.0,10800000,2
2895,Hebbal,1255,2.0,9000000,3
2897,Hebbal,1138,2.0,11000000,2
2898,Hebbal,2790,5.0,20400000,4
2899,Hebbal,1088,2.0,6200000,2
2900,Hebbal,1987,4.0,16500000,3
2902,Hebbal,1299,2.0,10000000,2
2903,Hebbal,1200,2.0,6000000,2
2904,Hebbal,1645,3.0,11700000,3
2905,Hebbal,1390,2.0,9500000,2
2906,Hebbal,1333,2.0,10000000,2
2908,Hebbal,2650,4.0,19900000,3
2909,Hebbal,3450,5.0,34800000,3
2910,Hebbal,1800,3.0,14000000,3
2912,Hebbal,2470,4.0,20300000,4
2913,Hebbal,1255,2.0,9500000,3
2914,Hebbal,1333,2.0,10400000,2
2915,Hebbal,1645,3.0,11700000,3
2916,Hebbal,2600,3.0,19900000,3
2917,Hebbal,1345,2.0,9700000,2
2919,Hebbal,985,2.0,6200000,2
2920,Hebbal,1320,2.0,9100000,2
2921,Hebbal,2388,3.0,19500000,3
2922,Hebbal,1040,2.0,5500000,2
2924,Hebbal,2600,3.0,19500000,3
2925,Hebbal,1075,2.0,5200000,2
2926,Hebbal,2470,5.0,18800000,4
2928,Hebbal,1645,3.0,11300000,3
2930,Hebbal,1420,2.0,9939000,2
2932,Hebbal,3520,5.0,32000000,3
2933,Hebbal,1162,2.0,6900000,2
2934,Hebbal,1100,2.0,6000000,2
2935,Hebbal,4235,5.0,36400000,4
2936,Hebbal,1299,2.0,9700000,2
2938,Hebbal,2470,5.0,19200000,4
2939,Hebbal,1645,3.0,11700000,3
2940,Hebbal,1920,3.0,13400000,3
2941,Hebbal,4450,6.0,44900000,4
2942,Hebbal,3520,5.0,24000000,3
2943,Hebbal,1920,3.0,15000000,3
2944,Hebbal,2375,4.0,18900000,4
2945,Hebbal,1420,2.0,9926000,2
2946,Hebbal,1252,2.0,9200000,2
2948,Hebbal,1162,2.0,5900000,2
2949,Hebbal,1294,2.0,11500000,2
2950,Hebbal,4000,6.0,35900000,4
2951,Hebbal,1150,2.0,5700000,2
2952,Hebbal,1740,2.0,13700000,3
2954,Hebbal,1662,3.0,15500000,3
2955,Hebbal,2250,3.0,21900000,3
2956,Hebbal,1349,2.0,9800000,2
2957,Hebbal,4000,6.0,37000000,4
2958,Hebbal,1349,2.0,9680000,2
2959,Hebbal Kempapura,1700,3.0,15500000,3
2960,Hebbal Kempapura,1800,3.0,17500000,3
2961,Hebbal Kempapura,2900,4.0,30000000,3
2962,Hebbal Kempapura,3522,3.0,38000000,3
2963,Hebbal Kempapura,2280,5.0,20000000,5
2964,Hebbal Kempapura,1200,2.0,12500000,2
2965,Hebbal Kempapura,2900,4.0,24000000,3
2967,Hebbal Kempapura,1300,2.0,10200000,2
2968,Hebbal Kempapura,1466,2.0,14000000,3
2970,Hebbal Kempapura,1725,2.0,16500000,3
2971,Hebbal Kempapura,1200,3.0,12500000,3
2972,Hebbal Kempapura,3408,3.0,26000000,3
2973,Hebbal Kempapura,1485,3.0,13200000,2
2974,Hebbal Kempapura,1400,2.0,10800000,2
2975,Hebbal Kempapura,1800,3.0,15000000,3
2976,Hebbal Kempapura,2400,5.0,20000000,5
2977,Hebbal Kempapura,2800,5.0,22000000,5
2978,Hebbal Kempapura,1785,3.0,16500000,3
2979,Hebbal Kempapura,3729,4.0,38400000,4
2980,Hebbal Kempapura,1600,3.0,17000000,3
2981,Hebbal Kempapura,1730,3.0,17500000,3
2983,Hegde Nagar,1569,3.0,10100000,3
2984,Hegde Nagar,3000,7.0,21000000,6
2985,Hegde Nagar,2026,3.0,13200000,3
2986,Hegde Nagar,1801,3.0,11500000,3
2987,Hegde Nagar,1050,1.0,5600000,2
2988,Hegde Nagar,1341,2.0,9700000,2
2989,Hegde Nagar,2112,4.0,14500000,3
2990,Hegde Nagar,1703,3.0,11300000,3
2991,Hegde Nagar,1570,3.0,10500000,3
2992,Hegde Nagar,1801,3.0,14000000,3
2993,Hegde Nagar,1584,3.0,10300000,3
2994,Hegde Nagar,1965,4.0,12500000,3
2995,Hegde Nagar,1200,2.0,7500000,2
